City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Namatanai,PG,78.89,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
14,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Butaritari,KI,81.36,broken clouds,3.0707,172.7902,Isles Sunset Lodge
18,Sorong,ID,80.51,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
28,Sinnamary,GF,79.86,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
29,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
31,Matara,LK,76.06,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
36,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
47,Cockburn Town,TC,82.11,clear sky,21.4612,-71.1419,Osprey Beach Hotel
54,Papara,BR,81.0,overcast clouds,-3.9839,-38.7273,CAMPOS MARANGUAPE
56,San Patricio,US,84.92,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
61,Kavieng,PG,82.89,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
68,Ixtapa,MX,83.43,clear sky,20.7,-105.2,hotel la terminal
70,Rock Sound,BS,81.19,overcast clouds,24.9,-76.2,Pink Corral Bay Property
71,Soyo,AO,77.45,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
77,Acarau,BR,80.08,overcast clouds,-2.8856,-40.12,castelo pizzaria
80,Lubao,PH,82.11,scattered clouds,14.9167,120.55,Hacienda Gracia
82,Larap,PH,78.85,scattered clouds,14.299,122.6504,Montemayor Cove
87,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
89,Banjar,ID,77.0,overcast clouds,-8.19,114.9675,The Hamsa Resort
90,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
91,Rio Branco,BR,86.61,broken clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
92,Atuona,PF,77.34,few clouds,-9.8,-139.0333,Villa Enata
97,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
102,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
104,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Novotel Dakar
106,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
110,Augusto Correa,BR,79.07,few clouds,-1.0217,-46.635,Fazenda Bacuri
115,Santa Marta,CO,89.65,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
116,Bambanglipuro,ID,75.9,overcast clouds,-7.95,110.2833,Puri Brata
119,Waingapu,ID,80.06,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
126,Doha,QA,82.29,clear sky,25.2867,51.5333,Mövenpick Doha
131,Cabo San Lucas,MX,84.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
137,General Roca,AR,75.61,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
141,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
144,Sur,OM,76.55,clear sky,22.5667,59.5289,Sur Plaza Hotel
147,Hilo,US,79.11,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
156,Maldonado,UY,79.99,scattered clouds,-34.6667,-54.9167,La Cimarrona
160,Pilar,BR,78.73,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
161,Hithadhoo,MV,81.0,overcast clouds,-0.6,73.0833,Scoop Guest House
162,Eirunepe,BR,86.09,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
170,Martapura,ID,77.09,broken clouds,-3.4167,114.85,Montana Hotel Syariah
174,Pindiga,NG,76.05,overcast clouds,9.9833,10.9333,Accommodation Center
175,Porto Velho,BR,89.53,light rain,-8.7619,-63.9039,Ecos Hotel Conforto
176,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
182,Victoria,HK,76.32,clear sky,22.2855,114.1577,Mini Central
194,Vanimo,PG,77.54,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
200,Faanui,PF,77.41,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
204,Ambon,ID,78.24,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
207,Neuquen,AR,75.09,light rain,-38.9516,-68.0591,Hotel del Comahue
210,Yulara,AU,76.62,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
212,Mitsamiouli,KM,76.82,broken clouds,-11.3847,43.2844,Foyer ADM
213,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
218,Cabcaben,PH,80.62,few clouds,14.454,120.5914,villa carmen beach resort
220,Sabang,ID,77.74,light rain,5.8933,95.3214,Hotel Citra
223,Anloga,GH,81.27,overcast clouds,5.7947,0.8973,Pin Drop Hotel
226,Belmonte,BR,76.64,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
229,Bonthe,SL,78.87,few clouds,7.5264,-12.505,Bonthe Holiday Village
231,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
233,Diffa,NE,77.61,broken clouds,13.3154,12.6113,ProDAF/Diffa
236,Mayumba,GA,77.18,overcast clouds,-3.432,10.6554,LIKWALE LODGE
238,Tautira,PF,77.67,broken clouds,-17.7333,-149.15,Pension Oaoa
244,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,Tanna Lodge
252,Altamira,BR,89.69,few clouds,-3.2033,-52.2064,Requinte Hotel
254,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
256,Loandjili,CG,76.55,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
258,Caravelas,BR,76.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
260,Luwuk,ID,78.22,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
261,Port Antonio,JM,86.0,broken clouds,18.18,-76.4612,The Trident Hotel
268,Prado,BR,75.99,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
269,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
270,San,ML,82.99,clear sky,13.3034,-4.8956,Hôtel Teriya
273,Etchoropo,MX,80.42,overcast clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
275,Puerto El Triunfo,SV,88.72,broken clouds,13.2833,-88.55,Hotel Jardin
