City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,-28.19,100,56,1.77,broken clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,88,75,11.5,broken clouds
2,Albany,US,42.6001,-73.9662,63.18,92,100,5.01,moderate rain
3,Bor,RU,56.3567,44.0669,44.53,91,100,13.91,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,74.66,88,100,12.35,light rain
5,Ushuaia,AR,-54.8,-68.3,51.46,54,20,21.85,few clouds
6,Harbour Breton,CA,47.4833,-55.7983,42.51,69,99,4.72,overcast clouds
7,Souillac,MU,-20.5167,57.5167,71.98,83,20,2.3,few clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,65,14.0,broken clouds
9,Evensk,RU,61.95,159.2333,20.03,95,100,14.58,snow
10,Canon City,US,38.441,-105.2424,48.02,47,0,9.22,clear sky
11,Yellowknife,CA,62.456,-114.3525,23.56,80,100,23.02,light snow
12,Araouane,ML,18.9048,-3.5265,74.95,11,56,8.12,broken clouds
13,Nanchang,CN,28.6833,115.8833,71.74,64,7,2.37,clear sky
14,Mayumba,GA,-3.432,10.6554,77.09,87,100,6.24,overcast clouds
15,Gravelbourg,CA,49.8834,-106.5512,14.27,89,14,7.47,few clouds
16,Atuona,PF,-9.8,-139.0333,77.41,79,13,14.63,few clouds
17,Pevek,RU,69.7008,170.3133,-6.93,100,97,3.87,overcast clouds
18,Jamestown,US,42.097,-79.2353,62.24,71,100,3.44,heavy intensity rain
19,Busselton,AU,-33.65,115.3333,52.74,76,83,9.46,broken clouds
20,East London,ZA,-33.0153,27.9116,70.43,91,100,21.92,overcast clouds
21,Butaritari,KI,3.0707,172.7902,81.45,76,67,13.8,broken clouds
22,Port Alfred,ZA,-33.5906,26.891,70.18,89,88,4.0,light rain
23,Impfondo,CG,1.6381,18.0667,69.44,97,100,0.94,overcast clouds
24,Lang Son,VN,21.8333,106.7333,65.12,96,11,2.08,few clouds
25,Bluff,NZ,-46.6,168.3333,58.8,78,100,7.67,overcast clouds
26,Lere,NG,10.387,8.5726,71.24,35,55,4.0,broken clouds
27,Sao Filipe,CV,14.8961,-24.4956,77.63,72,78,6.17,broken clouds
28,Safranbolu,TR,41.2508,32.6942,43.29,93,32,1.72,scattered clouds
29,Galle,LK,6.0367,80.217,77.31,85,97,7.58,overcast clouds
30,Vung Tau,VN,10.346,107.0843,78.84,81,99,5.64,overcast clouds
31,Pierre,US,44.3683,-100.351,26.06,74,100,13.0,mist
32,Coolum Beach,AU,-26.5333,153.1,73.35,75,8,5.95,clear sky
33,Teya,RU,60.3778,92.6267,24.15,88,100,10.76,overcast clouds
34,New Norfolk,AU,-42.7826,147.0587,53.92,61,100,4.0,overcast clouds
35,Buenos Aires,AR,-34.6132,-58.3772,84.09,55,20,16.11,few clouds
36,Rawson,AR,-43.3002,-65.1023,59.34,70,100,14.5,light rain
37,Lahij,YE,13.1667,44.5833,71.13,76,7,5.01,clear sky
38,College,US,64.8569,-147.8028,24.91,85,75,4.61,broken clouds
39,Esperance,AU,-33.8667,121.9,49.84,73,97,22.01,light rain
40,Aklavik,CA,68.2191,-135.0107,6.22,93,52,3.04,broken clouds
41,Mao,ES,39.8885,4.2658,66.76,88,20,11.5,few clouds
42,Takoradi,GH,4.8845,-1.7554,78.13,84,64,6.38,broken clouds
43,Lufilufi,WS,-13.8745,-171.5986,85.78,79,56,11.65,light rain
44,Codrington,AU,-38.2667,141.9667,57.79,79,83,11.5,broken clouds
45,Hobart,AU,-42.8794,147.3294,54.27,74,98,1.01,overcast clouds
46,Itoman,JP,26.1247,127.6694,77.77,96,20,12.66,few clouds
47,Road Town,VG,18.4167,-64.6167,82.49,83,40,9.22,scattered clouds
